지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
90,속초,2024-12-09 02:00,8
90,속초,2024-12-09 04:00,8
90,속초,2024-12-09 05:00,5
90,속초,2024-12-09 06:00,4
90,속초,2024-12-09 07:00,6
90,속초,2024-12-09 08:00,9
90,속초,2024-12-09 09:00,16
90,속초,2024-12-09 10:00,15
90,속초,2024-12-09 11:00,38
90,속초,2024-12-09 12:00,36
90,속초,2024-12-09 13:00,29
90,속초,2024-12-09 14:00,41
90,속초,2024-12-09 15:00,42
90,속초,2024-12-09 16:00,44
90,속초,2024-12-09 17:00,44
90,속초,2024-12-09 18:00,33
90,속초,2024-12-09 19:00,17
90,속초,2024-12-09 20:00,8
90,속초,2024-12-09 22:00,14
93,북춘천,2024-12-09 01:00,37
93,북춘천,2024-12-09 02:00,34
93,북춘천,2024-12-09 03:00,24
93,북춘천,2024-12-09 04:00,20
93,북춘천,2024-12-09 05:00,19
93,북춘천,2024-12-09 06:00,16
93,북춘천,2024-12-09 07:00,20
93,북춘천,2024-12-09 08:00,25
93,북춘천,2024-12-09 09:00,33
93,북춘천,2024-12-09 10:00,32
93,북춘천,2024-12-09 11:00,31
93,북춘천,2024-12-09 12:00,29
93,북춘천,2024-12-09 13:00,23
93,북춘천,2024-12-09 14:00,23
93,북춘천,2024-12-09 15:00,22
93,북춘천,2024-12-09 16:00,26
93,북춘천,2024-12-09 17:00,29
93,북춘천,2024-12-09 18:00,38
93,북춘천,2024-12-09 19:00,17
93,북춘천,2024-12-09 20:00,34
93,북춘천,2024-12-09 21:00,33
93,북춘천,2024-12-09 22:00,33
93,북춘천,2024-12-09 23:00,27
93,북춘천,2024-12-10 00:00,27
94,광덕산,2024-12-09 01:00,16
94,광덕산,2024-12-09 02:00,21
94,광덕산,2024-12-09 03:00,12
94,광덕산,2024-12-09 04:00,21
94,광덕산,2024-12-09 05:00,22
94,광덕산,2024-12-09 06:00,19
94,광덕산,2024-12-09 07:00,22
94,광덕산,2024-12-09 08:00,17
94,광덕산,2024-12-09 09:00,16
94,광덕산,2024-12-09 10:00,13
94,광덕산,2024-12-09 11:00,14
94,광덕산,2024-12-09 12:00,24
94,광덕산,2024-12-09 13:00,36
94,광덕산,2024-12-09 14:00,30
94,광덕산,2024-12-09 15:00,30
94,광덕산,2024-12-09 16:00,29
94,광덕산,2024-12-09 17:00,34
94,광덕산,2024-12-09 18:00,33
94,광덕산,2024-12-09 19:00,17
94,광덕산,2024-12-09 20:00,20
94,광덕산,2024-12-09 21:00,21
94,광덕산,2024-12-09 22:00,17
94,광덕산,2024-12-09 23:00,22
94,광덕산,2024-12-10 00:00,20
100,대관령,2024-12-09 01:00,19
100,대관령,2024-12-09 02:00,18
100,대관령,2024-12-09 03:00,15
100,대관령,2024-12-09 04:00,19
100,대관령,2024-12-09 05:00,13
100,대관령,2024-12-09 06:00,20
100,대관령,2024-12-09 07:00,20
100,대관령,2024-12-09 08:00,18
100,대관령,2024-12-09 09:00,18
100,대관령,2024-12-09 10:00,26
100,대관령,2024-12-09 11:00,27
100,대관령,2024-12-09 12:00,27
100,대관령,2024-12-09 13:00,17
100,대관령,2024-12-09 14:00,16
100,대관령,2024-12-09 15:00,18
100,대관령,2024-12-09 16:00,12
100,대관령,2024-12-09 17:00,15
100,대관령,2024-12-09 18:00,19
100,대관령,2024-12-09 19:00,10
100,대관령,2024-12-09 20:00,15
100,대관령,2024-12-09 21:00,12
100,대관령,2024-12-09 22:00,17
100,대관령,2024-12-09 23:00,20
100,대관령,2024-12-10 00:00,13
102,백령도,2024-12-09 01:00,21
102,백령도,2024-12-09 02:00,15
102,백령도,2024-12-09 03:00,23
102,백령도,2024-12-09 04:00,19
102,백령도,2024-12-09 05:00,21
102,백령도,2024-12-09 06:00,20
102,백령도,2024-12-09 07:00,21
102,백령도,2024-12-09 08:00,24
102,백령도,2024-12-09 09:00,24
102,백령도,2024-12-09 10:00,30
102,백령도,2024-12-09 11:00,22
102,백령도,2024-12-09 12:00,26
102,백령도,2024-12-09 13:00,23
102,백령도,2024-12-09 14:00,27
102,백령도,2024-12-09 15:00,21
102,백령도,2024-12-09 16:00,26
102,백령도,2024-12-09 17:00,27
102,백령도,2024-12-09 18:00,22
102,백령도,2024-12-09 19:00,23
102,백령도,2024-12-09 20:00,22
102,백령도,2024-12-09 21:00,26
102,백령도,2024-12-09 22:00,23
102,백령도,2024-12-09 23:00,17
102,백령도,2024-12-10 00:00,17
108,서울,2024-12-09 01:00,27
108,서울,2024-12-09 02:00,19
108,서울,2024-12-09 03:00,22
108,서울,2024-12-09 04:00,25
108,서울,2024-12-09 05:00,20
108,서울,2024-12-09 06:00,21
108,서울,2024-12-09 07:00,18
108,서울,2024-12-09 08:00,19
108,서울,2024-12-09 09:00,20
108,서울,2024-12-09 10:00,29
108,서울,2024-12-09 11:00,44
108,서울,2024-12-09 12:00,46
108,서울,2024-12-09 13:00,53
108,서울,2024-12-09 14:00,54
108,서울,2024-12-09 15:00,58
108,서울,2024-12-09 16:00,54
108,서울,2024-12-09 17:00,53
108,서울,2024-12-09 18:00,41
108,서울,2024-12-09 19:00,38
108,서울,2024-12-09 20:00,37
108,서울,2024-12-09 21:00,37
108,서울,2024-12-09 22:00,33
108,서울,2024-12-09 23:00,25
108,서울,2024-12-10 00:00,26
115,울릉도독도(감),2024-12-09 01:00,7
115,울릉도독도(감),2024-12-09 03:00,7
115,울릉도독도(감),2024-12-09 04:00,8
115,울릉도독도(감),2024-12-09 05:00,7
115,울릉도독도(감),2024-12-09 06:00,13
115,울릉도독도(감),2024-12-09 07:00,10
115,울릉도독도(감),2024-12-09 09:00,8
115,울릉도독도(감),2024-12-09 10:00,4
115,울릉도독도(감),2024-12-09 11:00,12
115,울릉도독도(감),2024-12-09 12:00,10
115,울릉도독도(감),2024-12-09 13:00,18
115,울릉도독도(감),2024-12-09 14:00,22
115,울릉도독도(감),2024-12-09 17:00,4
115,울릉도독도(감),2024-12-09 19:00,7
115,울릉도독도(감),2024-12-09 22:00,10
115,울릉도독도(감),2024-12-09 23:00,6
115,울릉도독도(감),2024-12-10 00:00,9
116,관악산,2024-12-09 01:00,22
116,관악산,2024-12-09 02:00,25
116,관악산,2024-12-09 03:00,28
116,관악산,2024-12-09 04:00,13
116,관악산,2024-12-09 05:00,17
116,관악산,2024-12-09 06:00,23
116,관악산,2024-12-09 07:00,19
116,관악산,2024-12-09 08:00,20
116,관악산,2024-12-09 09:00,20
116,관악산,2024-12-09 10:00,21
116,관악산,2024-12-09 11:00,33
116,관악산,2024-12-09 12:00,46
116,관악산,2024-12-09 13:00,46
116,관악산,2024-12-09 14:00,58
116,관악산,2024-12-09 15:00,29
116,관악산,2024-12-09 16:00,65
116,관악산,2024-12-09 17:00,61
116,관악산,2024-12-09 18:00,34
116,관악산,2024-12-09 19:00,6
116,관악산,2024-12-09 21:00,4
116,관악산,2024-12-09 22:00,17
116,관악산,2024-12-09 23:00,24
116,관악산,2024-12-10 00:00,19
119,수원,2024-12-09 01:00,35
119,수원,2024-12-09 02:00,32
119,수원,2024-12-09 03:00,28
119,수원,2024-12-09 04:00,31
119,수원,2024-12-09 05:00,23
119,수원,2024-12-09 06:00,26
119,수원,2024-12-09 07:00,29
119,수원,2024-12-09 08:00,38
119,수원,2024-12-09 09:00,39
119,수원,2024-12-09 10:00,45
119,수원,2024-12-09 11:00,38
119,수원,2024-12-09 12:00,30
119,수원,2024-12-09 13:00,31
119,수원,2024-12-09 14:00,35
119,수원,2024-12-09 15:00,41
119,수원,2024-12-09 16:00,41
119,수원,2024-12-09 17:00,44
119,수원,2024-12-09 18:00,51
119,수원,2024-12-09 19:00,53
119,수원,2024-12-09 20:00,60
119,수원,2024-12-09 21:00,62
119,수원,2024-12-09 22:00,62
119,수원,2024-12-09 23:00,55
119,수원,2024-12-10 00:00,56
121,영월,2024-12-09 01:00,7
121,영월,2024-12-09 02:00,15
121,영월,2024-12-09 03:00,19
121,영월,2024-12-09 04:00,16
121,영월,2024-12-09 05:00,17
121,영월,2024-12-09 06:00,13
121,영월,2024-12-09 07:00,12
121,영월,2024-12-09 08:00,14
121,영월,2024-12-09 09:00,9
121,영월,2024-12-09 10:00,22
121,영월,2024-12-09 11:00,25
121,영월,2024-12-09 12:00,37
121,영월,2024-12-09 13:00,29
121,영월,2024-12-09 14:00,31
121,영월,2024-12-09 15:00,34
121,영월,2024-12-09 16:00,29
121,영월,2024-12-09 17:00,30
121,영월,2024-12-09 18:00,32
121,영월,2024-12-09 19:00,20
121,영월,2024-12-09 20:00,20
121,영월,2024-12-09 21:00,28
121,영월,2024-12-09 22:00,17
121,영월,2024-12-09 23:00,18
121,영월,2024-12-10 00:00,15
130,울진,2024-12-09 02:00,12
130,울진,2024-12-09 03:00,17
130,울진,2024-12-09 04:00,12
130,울진,2024-12-09 05:00,14
130,울진,2024-12-09 06:00,10
130,울진,2024-12-09 07:00,13
130,울진,2024-12-09 08:00,12
130,울진,2024-12-09 10:00,5
130,울진,2024-12-09 13:00,3
130,울진,2024-12-09 14:00,3
130,울진,2024-12-09 15:00,10
130,울진,2024-12-09 16:00,9
130,울진,2024-12-09 17:00,21
130,울진,2024-12-09 18:00,19
130,울진,2024-12-09 19:00,16
130,울진,2024-12-09 20:00,14
130,울진,2024-12-09 21:00,12
130,울진,2024-12-09 22:00,12
130,울진,2024-12-09 23:00,15
130,울진,2024-12-10 00:00,16
132,안면도(감),2024-12-09 01:00,22
132,안면도(감),2024-12-09 02:00,27
132,안면도(감),2024-12-09 03:00,31
132,안면도(감),2024-12-09 04:00,24
132,안면도(감),2024-12-09 05:00,31
132,안면도(감),2024-12-09 06:00,31
132,안면도(감),2024-12-09 07:00,21
132,안면도(감),2024-12-09 08:00,32
132,안면도(감),2024-12-09 09:00,26
132,안면도(감),2024-12-09 10:00,28
132,안면도(감),2024-12-09 11:00,18
132,안면도(감),2024-12-09 12:00,23
132,안면도(감),2024-12-09 13:00,17
132,안면도(감),2024-12-09 14:00,24
132,안면도(감),2024-12-09 15:00,24
132,안면도(감),2024-12-09 16:00,11
132,안면도(감),2024-12-09 17:00,29
132,안면도(감),2024-12-09 18:00,21
132,안면도(감),2024-12-09 19:00,31
132,안면도(감),2024-12-09 20:00,26
132,안면도(감),2024-12-09 21:00,32
132,안면도(감),2024-12-09 22:00,27
132,안면도(감),2024-12-09 23:00,33
132,안면도(감),2024-12-10 00:00,26
135,추풍령,2024-12-09 01:00,15
135,추풍령,2024-12-09 02:00,7
135,추풍령,2024-12-09 03:00,7
135,추풍령,2024-12-09 04:00,9
135,추풍령,2024-12-09 05:00,11
135,추풍령,2024-12-09 06:00,14
135,추풍령,2024-12-09 07:00,11
135,추풍령,2024-12-09 08:00,13
135,추풍령,2024-12-09 09:00,27
135,추풍령,2024-12-09 10:00,27
135,추풍령,2024-12-09 11:00,35
135,추풍령,2024-12-09 12:00,39
135,추풍령,2024-12-09 13:00,42
135,추풍령,2024-12-09 14:00,48
135,추풍령,2024-12-09 15:00,49
135,추풍령,2024-12-09 16:00,58
135,추풍령,2024-12-09 17:00,49
135,추풍령,2024-12-09 18:00,37
135,추풍령,2024-12-09 19:00,18
135,추풍령,2024-12-09 20:00,25
135,추풍령,2024-12-09 21:00,10
135,추풍령,2024-12-10 00:00,5
136,안동,2024-12-09 01:00,15
136,안동,2024-12-09 02:00,22
136,안동,2024-12-09 03:00,23
136,안동,2024-12-09 04:00,19
136,안동,2024-12-09 05:00,22
136,안동,2024-12-09 06:00,16
136,안동,2024-12-09 07:00,21
136,안동,2024-12-09 08:00,18
136,안동,2024-12-09 09:00,22
136,안동,2024-12-09 10:00,35
136,안동,2024-12-09 11:00,30
136,안동,2024-12-09 12:00,23
136,안동,2024-12-09 13:00,15
136,안동,2024-12-09 14:00,15
136,안동,2024-12-09 15:00,16
136,안동,2024-12-09 16:00,16
136,안동,2024-12-09 17:00,14
136,안동,2024-12-09 18:00,17
136,안동,2024-12-09 19:00,16
136,안동,2024-12-09 20:00,16
136,안동,2024-12-09 21:00,18
136,안동,2024-12-09 22:00,23
136,안동,2024-12-09 23:00,18
136,안동,2024-12-10 00:00,26
140,군산,2024-12-09 01:00,23
140,군산,2024-12-09 02:00,19
140,군산,2024-12-09 03:00,23
140,군산,2024-12-09 04:00,23
140,군산,2024-12-09 05:00,18
140,군산,2024-12-09 06:00,22
140,군산,2024-12-09 07:00,24
140,군산,2024-12-09 08:00,21
140,군산,2024-12-09 09:00,22
140,군산,2024-12-09 10:00,17
140,군산,2024-12-09 11:00,27
140,군산,2024-12-09 12:00,34
140,군산,2024-12-09 13:00,30
140,군산,2024-12-09 14:00,30
140,군산,2024-12-09 15:00,34
140,군산,2024-12-09 16:00,30
140,군산,2024-12-09 17:00,26
140,군산,2024-12-09 18:00,32
140,군산,2024-12-09 19:00,29
140,군산,2024-12-09 20:00,24
140,군산,2024-12-09 21:00,27
140,군산,2024-12-09 22:00,24
140,군산,2024-12-09 23:00,28
140,군산,2024-12-10 00:00,32
143,대구,2024-12-09 01:00,17
143,대구,2024-12-09 02:00,21
143,대구,2024-12-09 03:00,18
143,대구,2024-12-09 04:00,14
143,대구,2024-12-09 05:00,22
143,대구,2024-12-09 06:00,25
143,대구,2024-12-09 07:00,26
143,대구,2024-12-09 08:00,22
143,대구,2024-12-09 09:00,23
143,대구,2024-12-09 10:00,23
143,대구,2024-12-09 11:00,25
143,대구,2024-12-09 12:00,30
143,대구,2024-12-09 13:00,31
143,대구,2024-12-09 14:00,23
143,대구,2024-12-09 15:00,33
143,대구,2024-12-09 16:00,29
143,대구,2024-12-09 17:00,48
143,대구,2024-12-09 18:00,28
143,대구,2024-12-09 19:00,25
143,대구,2024-12-09 20:00,15
143,대구,2024-12-09 21:00,13
143,대구,2024-12-09 22:00,11
143,대구,2024-12-09 23:00,18
143,대구,2024-12-10 00:00,10
146,전주,2024-12-09 01:00,30
146,전주,2024-12-09 02:00,26
146,전주,2024-12-09 03:00,29
146,전주,2024-12-09 04:00,23
146,전주,2024-12-09 05:00,19
146,전주,2024-12-09 06:00,26
146,전주,2024-12-09 07:00,23
146,전주,2024-12-09 08:00,25
146,전주,2024-12-09 09:00,28
146,전주,2024-12-09 10:00,17
146,전주,2024-12-09 11:00,36
146,전주,2024-12-09 12:00,30
146,전주,2024-12-09 13:00,29
146,전주,2024-12-09 14:00,25
146,전주,2024-12-09 15:00,24
146,전주,2024-12-09 16:00,42
146,전주,2024-12-09 17:00,46
146,전주,2024-12-09 18:00,52
146,전주,2024-12-09 19:00,66
146,전주,2024-12-09 20:00,68
146,전주,2024-12-09 21:00,61
146,전주,2024-12-09 22:00,51
146,전주,2024-12-09 23:00,48
146,전주,2024-12-10 00:00,46
152,울산,2024-12-09 01:00,27
152,울산,2024-12-09 02:00,27
152,울산,2024-12-09 03:00,26
152,울산,2024-12-09 04:00,24
152,울산,2024-12-09 05:00,25
152,울산,2024-12-09 06:00,24
152,울산,2024-12-09 07:00,26
152,울산,2024-12-09 08:00,27
152,울산,2024-12-09 09:00,18
152,울산,2024-12-09 10:00,14
152,울산,2024-12-09 11:00,15
152,울산,2024-12-09 12:00,13
152,울산,2024-12-09 13:00,12
152,울산,2024-12-09 14:00,17
152,울산,2024-12-09 15:00,14
152,울산,2024-12-09 16:00,16
152,울산,2024-12-09 17:00,25
152,울산,2024-12-09 18:00,40
152,울산,2024-12-09 19:00,35
152,울산,2024-12-09 20:00,43
152,울산,2024-12-09 21:00,38
152,울산,2024-12-09 22:00,32
152,울산,2024-12-09 23:00,25
152,울산,2024-12-10 00:00,29
156,광주,2024-12-09 01:00,16
156,광주,2024-12-09 02:00,16
156,광주,2024-12-09 03:00,14
156,광주,2024-12-09 04:00,17
156,광주,2024-12-09 05:00,15
156,광주,2024-12-09 06:00,17
156,광주,2024-12-09 07:00,25
156,광주,2024-12-09 08:00,14
156,광주,2024-12-09 09:00,25
156,광주,2024-12-09 10:00,22
156,광주,2024-12-09 11:00,21
156,광주,2024-12-09 12:00,40
156,광주,2024-12-09 13:00,33
156,광주,2024-12-09 14:00,24
156,광주,2024-12-09 15:00,28
156,광주,2024-12-09 16:00,27
156,광주,2024-12-09 17:00,24
156,광주,2024-12-09 18:00,23
156,광주,2024-12-09 19:00,11
156,광주,2024-12-09 20:00,16
156,광주,2024-12-09 21:00,16
156,광주,2024-12-09 22:00,18
156,광주,2024-12-09 23:00,25
156,광주,2024-12-10 00:00,24
160,구덕산,2024-12-09 02:00,12
160,구덕산,2024-12-09 03:00,15
160,구덕산,2024-12-09 04:00,13
160,구덕산,2024-12-09 05:00,16
160,구덕산,2024-12-09 06:00,14
160,구덕산,2024-12-09 07:00,14
160,구덕산,2024-12-09 08:00,15
160,구덕산,2024-12-09 09:00,17
160,구덕산,2024-12-09 10:00,24
160,구덕산,2024-12-09 11:00,24
160,구덕산,2024-12-09 12:00,38
160,구덕산,2024-12-09 13:00,39
160,구덕산,2024-12-09 14:00,32
160,구덕산,2024-12-09 15:00,38
160,구덕산,2024-12-09 16:00,25
160,구덕산,2024-12-09 17:00,13
160,구덕산,2024-12-09 18:00,15
160,구덕산,2024-12-09 19:00,15
160,구덕산,2024-12-09 20:00,19
160,구덕산,2024-12-09 21:00,24
160,구덕산,2024-12-09 22:00,16
160,구덕산,2024-12-09 23:00,14
160,구덕산,2024-12-10 00:00,11
169,흑산도,2024-12-09 01:00,20
169,흑산도,2024-12-09 02:00,12
169,흑산도,2024-12-09 03:00,8
169,흑산도,2024-12-09 04:00,13
169,흑산도,2024-12-09 05:00,6
169,흑산도,2024-12-09 06:00,9
169,흑산도,2024-12-09 07:00,12
169,흑산도,2024-12-09 08:00,16
169,흑산도,2024-12-09 09:00,10
169,흑산도,2024-12-09 10:00,17
169,흑산도,2024-12-09 11:00,14
169,흑산도,2024-12-09 12:00,16
169,흑산도,2024-12-09 13:00,16
169,흑산도,2024-12-09 14:00,16
169,흑산도,2024-12-09 15:00,17
169,흑산도,2024-12-09 16:00,23
169,흑산도,2024-12-09 17:00,27
169,흑산도,2024-12-09 18:00,21
169,흑산도,2024-12-09 19:00,16
169,흑산도,2024-12-09 20:00,18
169,흑산도,2024-12-09 21:00,13
169,흑산도,2024-12-09 22:00,13
169,흑산도,2024-12-09 23:00,14
169,흑산도,2024-12-10 00:00,11
185,고산,2024-12-09 01:00,19
185,고산,2024-12-09 02:00,19
185,고산,2024-12-09 03:00,24
185,고산,2024-12-09 04:00,16
185,고산,2024-12-09 05:00,11
185,고산,2024-12-09 06:00,20
185,고산,2024-12-09 07:00,19
185,고산,2024-12-09 08:00,15
185,고산,2024-12-09 09:00,18
185,고산,2024-12-09 10:00,23
185,고산,2024-12-09 11:00,13
185,고산,2024-12-09 12:00,21
185,고산,2024-12-09 13:00,20
185,고산,2024-12-09 14:00,15
185,고산,2024-12-09 15:00,20
185,고산,2024-12-09 16:00,20
185,고산,2024-12-09 17:00,18
185,고산,2024-12-09 18:00,17
185,고산,2024-12-09 19:00,12
185,고산,2024-12-09 20:00,18
185,고산,2024-12-09 21:00,15
185,고산,2024-12-09 22:00,14
185,고산,2024-12-09 23:00,17
185,고산,2024-12-10 00:00,20
192,진주,2024-12-09 09:00,5
192,진주,2024-12-09 11:00,18
192,진주,2024-12-09 12:00,29
192,진주,2024-12-09 13:00,34
192,진주,2024-12-09 14:00,36
192,진주,2024-12-09 15:00,42
192,진주,2024-12-09 16:00,45
192,진주,2024-12-09 17:00,50
192,진주,2024-12-09 18:00,40
192,진주,2024-12-09 19:00,16
192,진주,2024-12-09 21:00,6
201,강화,2024-12-09 01:00,13
201,강화,2024-12-09 02:00,14
201,강화,2024-12-09 03:00,15
201,강화,2024-12-09 04:00,17
201,강화,2024-12-09 05:00,23
201,강화,2024-12-09 06:00,18
201,강화,2024-12-09 07:00,17
201,강화,2024-12-09 08:00,18
201,강화,2024-12-09 09:00,16
201,강화,2024-12-09 10:00,44
201,강화,2024-12-09 11:00,42
201,강화,2024-12-09 12:00,32
201,강화,2024-12-09 13:00,32
201,강화,2024-12-09 14:00,27
201,강화,2024-12-09 15:00,36
201,강화,2024-12-09 16:00,30
201,강화,2024-12-09 17:00,25
201,강화,2024-12-09 18:00,25
201,강화,2024-12-09 19:00,18
201,강화,2024-12-09 20:00,16
201,강화,2024-12-09 21:00,21
201,강화,2024-12-09 22:00,23
201,강화,2024-12-09 23:00,20
201,강화,2024-12-10 00:00,25
232,천안,2024-12-09 01:00,22
232,천안,2024-12-09 02:00,26
232,천안,2024-12-09 03:00,20
232,천안,2024-12-09 04:00,21
232,천안,2024-12-09 05:00,15
232,천안,2024-12-09 06:00,18
232,천안,2024-12-09 07:00,17
232,천안,2024-12-09 08:00,15
232,천안,2024-12-09 09:00,14
232,천안,2024-12-09 10:00,18
232,천안,2024-12-09 11:00,33
232,천안,2024-12-09 12:00,41
232,천안,2024-12-09 13:00,42
232,천안,2024-12-09 14:00,56
232,천안,2024-12-09 15:00,50
232,천안,2024-12-09 16:00,46
232,천안,2024-12-09 17:00,37
232,천안,2024-12-09 18:00,43
232,천안,2024-12-09 19:00,42
232,천안,2024-12-09 20:00,58
232,천안,2024-12-09 21:00,42
232,천안,2024-12-09 22:00,41
232,천안,2024-12-09 23:00,27
232,천안,2024-12-10 00:00,32
268,진도군,2024-12-09 01:00,25
268,진도군,2024-12-09 02:00,19
268,진도군,2024-12-09 03:00,22
268,진도군,2024-12-09 04:00,19
268,진도군,2024-12-09 05:00,18
268,진도군,2024-12-09 06:00,18
268,진도군,2024-12-09 07:00,19
268,진도군,2024-12-09 08:00,20
268,진도군,2024-12-09 09:00,17
268,진도군,2024-12-09 10:00,35
268,진도군,2024-12-09 11:00,14
268,진도군,2024-12-09 12:00,16
268,진도군,2024-12-09 13:00,14
268,진도군,2024-12-09 14:00,10
268,진도군,2024-12-09 15:00,9
268,진도군,2024-12-09 16:00,32
268,진도군,2024-12-09 17:00,25
268,진도군,2024-12-09 18:00,24
268,진도군,2024-12-09 19:00,29
268,진도군,2024-12-09 20:00,25
268,진도군,2024-12-09 21:00,23
268,진도군,2024-12-09 22:00,23
268,진도군,2024-12-09 23:00,30
268,진도군,2024-12-10 00:00,33
273,문경,2024-12-09 01:00,10
273,문경,2024-12-09 02:00,7
273,문경,2024-12-09 03:00,12
273,문경,2024-12-09 04:00,7
273,문경,2024-12-09 05:00,10
273,문경,2024-12-09 06:00,10
273,문경,2024-12-09 07:00,11
273,문경,2024-12-09 08:00,11
273,문경,2024-12-09 09:00,17
273,문경,2024-12-09 10:00,24
273,문경,2024-12-09 11:00,37
273,문경,2024-12-09 12:00,42
273,문경,2024-12-09 13:00,48
273,문경,2024-12-09 14:00,43
273,문경,2024-12-09 15:00,43
273,문경,2024-12-09 16:00,41
273,문경,2024-12-09 17:00,37
273,문경,2024-12-09 18:00,31
273,문경,2024-12-09 19:00,21
273,문경,2024-12-09 20:00,17
273,문경,2024-12-09 21:00,21
273,문경,2024-12-09 22:00,14
273,문경,2024-12-09 23:00,21
273,문경,2024-12-10 00:00,15
501,연평도,2024-12-09 01:00,19
501,연평도,2024-12-09 02:00,12
501,연평도,2024-12-09 03:00,21
501,연평도,2024-12-09 04:00,18
501,연평도,2024-12-09 06:00,20
501,연평도,2024-12-09 07:00,22
501,연평도,2024-12-09 08:00,21
501,연평도,2024-12-09 09:00,32
501,연평도,2024-12-09 10:00,15
501,연평도,2024-12-09 12:00,28
501,연평도,2024-12-09 13:00,46
501,연평도,2024-12-09 15:00,53
501,연평도,2024-12-09 16:00,58
501,연평도,2024-12-09 17:00,37
501,연평도,2024-12-09 18:00,35
501,연평도,2024-12-09 19:00,27
501,연평도,2024-12-09 20:00,19
501,연평도,2024-12-09 21:00,17
501,연평도,2024-12-09 22:00,7
501,연평도,2024-12-09 23:00,16
501,연평도,2024-12-10 00:00,21
